Titulo;Subtitulo;Autores;Editorial;Fecha_Publicacion;ISBN_13;ISBN_10;Paginas;Categorias;Tipo;Lenguaje;Imagen;Rating;Opiniones;Precio_Lista;Moneda_Lista;Precio_Venta;Moneda_Venta
Dynamic Programming;A Computational Tool;Art Lew|Holger Mauch;Springer Science & Business Media;2006-10-09;9783540370130;3540370137;379;Computers;BOOK;en;http://books.google.com/books/content?id=H_m59Mp1kkEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Linear Programming and its Applications;;H.A. Eiselt|C.-L. Sandblom;Springer Science & Business Media;2007-08-15;9783540736714;3540736719;380;Business & Economics;BOOK;en;http://books.google.com/books/content?id=pCMCdycl2kMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;6664.53;ARS;4665.17;ARS
Linear Programming;Methods and Applications;G. V. Shenoy;New Age International;2007-01-01;9788122410341;8122410340;223;Linear programming;BOOK;en;http://books.google.com/books/content?id=QpAxEnViv_kC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
Linear Programming and Extensions;;George Bernard Dantzig;Princeton University Press;1998;9780691059136;0691059136;627;Mathematics;BOOK;en;http://books.google.com/books/content?id=2j46uCX5ZAYC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
Programming in C;;Stephen G. Kochan;Sams Publishing;2004-07-08;9780672331411;0672331411;576;Computers;BOOK;en;http://books.google.com/books/content?id=jc5-3BArEjQC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;817.52;ARS;572.26;ARS
Programming in ANSI C;;Balagurusamy;Tata McGraw-Hill Education;2008;9780070648227;0070648220;549;C (Computer program language);BOOK;en;http://books.google.com/books/content?id=AokcsKn-1iIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4.5;50;;;;
CNC Programming Techniques;An Insider's Guide to Effective Methods and Applications;Peter Smid;Industrial Press Inc.;2006;9780831131852;0831131853;343;Technology & Engineering;BOOK;en;http://books.google.com/books/content?id=ziU_rO5gcIEC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Advanced C Programming;;A.P.Godse|D.A.Godse;Technical Publications;2008-01-01;9788184314960;8184314965;400;;BOOK;en;http://books.google.com/books/content?id=ZceMvOe_MG8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
CNC Programming Handbook;A Comprehensive Guide to Practical CNC Programming;Peter Smid;Industrial Press Inc.;2003;9780831131586;0831131586;508;Computers;BOOK;en;http://books.google.com/books/content?id=JNnQ8r5merMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;17;;;;
Types and Programming Languages;;Benjamin C. Pierce|Benjamin C. (Professor Pierce, University of Pennsylvania);MIT Press;2002;9780262162098;0262162091;623;Computers;BOOK;en;http://books.google.com/books/content?id=ti6zoAC9Ph8C&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;9;;;;
Nonlinear Programming;Analysis and Methods;Mordecai Avriel;Courier Corporation;2003;9780486432274;0486432270;512;Mathematics;BOOK;en;http://books.google.com/books/content?id=byF4Xb1QbvMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;;;;;;
Concepts in Programming Languages;;John C. Mitchell;Cambridge University Press;2003;9780521780988;0521780985;529;Computers;BOOK;en;http://books.google.com/books/content?id=7Uh8XGfJbEIC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;3.5;5;;;;
Parallel Programming;For Multicore and Cluster Systems;Thomas Rauber|Gudula Rünger;Springer Science & Business Media;2010-03-10;9783642048173;364204817X;455;Computers;BOOK;en;http://books.google.com/books/content?id=wWogxOmA3wMC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;5;1;;;;
An Introduction to Object-Oriented Programming in C++;with Applications in Computer Graphics;Graham M. Seed;Springer Science & Business Media;2001-05-11;9781852334505;1852334509;972;Computers;BOOK;en;http://books.google.com/books/content?id=_lqj98AsnGAC&printsec=frontcover&img=1&zoom=1&edge=curl&source=gbs_api;4;2;;;;
